MD_EARN_WNE_P10,STUFACR,STUFACR,C150_4,ADM_RATE,MD_EARN_WNE_P10
64909.0,25.0,25.0,0.7801,0.3926,64909.0
86522.0,13.0,13.0,0.8262,0.5261,86522.0
,3.0,3.0,0.6296,0.4158,
68077.0,19.0,19.0,0.5469,0.942,68077.0
89812.0,13.0,13.0,0.7437,0.7118,89812.0
,,,,,
43212.0,32.0,32.0,,,43212.0
38317.0,31.0,31.0,0.3243,,38317.0
38317.0,25.0,25.0,,,38317.0
56257.0,11.0,11.0,0.5152,0.6592,56257.0
46215.0,23.0,23.0,,,46215.0
78988.0,22.0,22.0,0.6842,0.7671,78988.0
54172.0,21.0,21.0,,,54172.0
47647.0,37.0,37.0,,,47647.0
109183.0,12.0,12.0,0.8852,0.5211,109183.0
42193.0,26.0,26.0,0.3223,,42193.0
47224.0,17.0,17.0,,,47224.0
,,,,,
77539.0,10.0,10.0,0.8407,0.2791,77539.0
39092.0,28.0,28.0,,,39092.0
28891.0,3.0,3.0,0.5,1.0,28891.0
39269.0,24.0,24.0,0.3129,,39269.0
45294.0,23.0,23.0,,,45294.0
18519.0,13.0,13.0,,,18519.0
46989.0,,,,,46989.0
54340.0,13.0,13.0,0.4655,,54340.0
39098.0,13.0,13.0,,,39098.0
41047.0,12.0,12.0,,,41047.0
55702.0,27.0,27.0,0.4012,,55702.0
39676.0,16.0,16.0,,,39676.0
78812.0,9.0,9.0,0.7206,0.8789,78812.0
44170.0,25.0,25.0,0.3389,,44170.0
65986.0,18.0,18.0,0.597,0.94,65986.0
,,,,,
44897.0,15.0,15.0,,,44897.0
59541.0,16.0,16.0,0.5951,0.7484,59541.0
45711.0,18.0,18.0,,0.9629,45711.0
40060.0,22.0,22.0,,,40060.0
,,,,,
,,,,,
71909.0,15.0,15.0,0.8571,0.5984,71909.0
92498.0,9.0,9.0,0.925,0.1202,92498.0
,,,,,
38861.0,27.0,27.0,,,38861.0
,,,,,
55619.0,11.0,11.0,0.8506,0.8473,55619.0
37822.0,10.0,10.0,0.3333,,37822.0
31141.0,18.0,18.0,,,31141.0
39993.0,20.0,20.0,,1.0,39993.0
50552.0,22.0,22.0,,0.969,50552.0
43430.0,25.0,25.0,,,43430.0
,,,,,
17287.0,20.0,20.0,,,17287.0
36119.0,28.0,28.0,,,36119.0
41217.0,28.0,28.0,,,41217.0
42810.0,21.0,21.0,,,42810.0
,15.0,15.0,,,
37633.0,22.0,22.0,,,37633.0
38537.0,24.0,24.0,0.278,,38537.0
51688.0,17.0,17.0,,,51688.0
39633.0,34.0,34.0,,,39633.0
,,,,,
64778.0,10.0,10.0,0.7356,0.8199,64778.0
59492.0,10.0,10.0,0.6557,0.7545,59492.0
65668.0,8.0,8.0,0.5481,0.626,65668.0
,,,,,
,,,,,
48361.0,20.0,20.0,0.18,0.6148,48361.0
39552.0,21.0,21.0,,,39552.0
44372.0,13.0,13.0,0.28,0.9918,44372.0
41887.0,17.0,17.0,,,41887.0
48341.0,23.0,23.0,0.2667,,48341.0
39506.0,28.0,28.0,,0.4955,39506.0
64270.0,17.0,17.0,0.4385,0.7458,64270.0
54659.0,15.0,15.0,0.4251,0.8477,54659.0
59093.0,11.0,11.0,,,59093.0
69738.0,18.0,18.0,0.7474,0.8073,69738.0
50416.0,16.0,16.0,0.6057,,50416.0
